Unique ID,Geo Type Name
179772,UHF42
179785,UHF42
178540,UHF42
178561,UHF42
823217,UHF42
177910,UHF42
177952,UHF42
177973,UHF42
177931,UHF42
742274,UHF42
178582,UHF42
178583,UHF42
547477,UHF42
547417,UHF42
177784,UHF42
547414,UHF42
130413,UHF42
130412,UHF42
130434,UHF42
410847,UHF42
177889,UHF42
177932,UHF42
410782,UHF42
177974,UHF42
410848,UHF42
823218,UHF42
176692,UHF42
549806,UHF42
175369,UHF42
175915,UHF42
549872,UHF42
741006,UHF42
175916,UHF42
336603,UHF42
178542,UHF42
177912,UHF42
177954,UHF42
334047,UHF42
177772,UHF42
742215,UHF42
742257,UHF42
178588,UHF42
177244,UHF42
410828,UHF42
177856,UHF42
823275,UHF42
177916,UHF42
410800,UHF42
177958,UHF42
605693,UHF42
742193,UHF42
177905,UHF42
175354,UHF42
176698,UHF42
175364,UHF42
175896,UHF42
549854,UHF42
740946,UHF42
549824,UHF42
176656,UHF42
410767,UHF42
742214,UHF42
177898,UHF42
177940,UHF42
823296,UHF42
742172,UHF42
823317,UHF42
334155,UHF34
742205,UHF42
547411,UHF42
742269,UHF42
547441,UHF42
742236,UHF42
605681,UHF42
605735,UHF42
605765,UHF42
177962,UHF42
549803,UHF42
549833,UHF42
176712,UHF42
175904,UHF42
336567,UHF42
549836,UHF42
175913,UHF42
742238,UHF42
179584,Borough
179589,Borough
410725,Borough
823284,UHF42
334095,UHF34
547510,UHF34
174260,UHF34
173614,UHF34
547540,UHF34
173158,UHF34
212818,UHF42
825997,UHF42
412501,UHF42
176040,UHF42
740969,UHF42
825722,UHF42
177955,UHF42
547390,UHF42
177944,UHF42
823305,UHF42
549782,UHF42
549815,UHF42
175361,UHF42
825775,UHF42
825742,UHF42
823272,UHF42
410851,UHF42
605663,UHF42
334116,UHF34
334122,UHF34
547537,UHF34
174259,UHF34
825776,UHF42
412483,UHF42
825743,UHF42
176684,UHF42
175340,UHF42
336513,UHF42
547663,CD
742458,CD
168533,CD
169302,CD
742457,CD
823560,CD
411121,CD
605957,CD
742547,CD
169509,CD
169568,CD
178416,UHF42
825766,UHF42
412492,UHF42
602765,UHF42
740957,UHF42
412438,UHF42
602753,UHF42
825734,UHF42
825788,UHF42
212811,UHF42
334003,UHF42
178402,UHF42
178486,UHF42
170418,CD
170430,CD
169474,CD
169533,CD
605948,CD
742448,CD
823172,CD
169511,CD
169570,CD
823491,CD
169521,CD
169462,CD
742538,CD
823545,CD
169334,CD
170455,CD
168567,CD
169285,CD
176081,UHF42
602804,UHF42
334266,CD
605975,CD
823482,CD
742472,CD
411046,CD
547732,CD
742473,CD
549749,Borough
175892,UHF42
412469,UHF42
175956,UHF42
412533,UHF42
740965,UHF42
740935,UHF42
175934,UHF42
740966,UHF42
176544,UHF42
667682,CD
166020,CD
336803,CD
131425,UHF42
131445,UHF42
131424,UHF42
628472,UHF42
628471,UHF42
168527,CD
170415,CD
547606,CD
742401,CD
547642,CD
606053,CD
605963,CD
605915,CD
169566,CD
547759,CD
169332,CD
168565,CD
170453,CD
547669,CD
742416,CD
336606,UHF42
412481,UHF42
175970,UHF42
412450,UHF42
166028,CD
167621,CD
643709,CD
667838,CD
165998,CD
167589,CD
165996,CD
628455,UHF42
169330,CD
170451,CD
547753,CD
742548,CD
547627,CD
742428,CD
168535,CD
170423,CD
176713,UHF42
336600,UHF42
549869,UHF42
741003,UHF42
176651,UHF42
177963,UHF42
823248,UHF42
179590,Borough
173602,UHF34
547513,UHF34
178498,UHF42
333997,UHF42
669793,UHF42
178435,UHF42
669790,UHF42
176671,UHF42
825994,UHF42
602717,UHF42
740909,UHF42
176062,UHF42
602813,UHF42
741005,UHF42
825995,UHF42
412537,UHF42
602810,UHF42
741002,UHF42
740940,UHF42
334314,CD
170413,CD
169292,CD
411097,CD
169469,CD
823347,CD
643619,CD
167680,CD
167562,CD
213453,CD
643710,CD
667837,CD
167532,CD
167530,CD
167648,CD
165910,CD
166677,CD
167798,CD
550151,CD
741285,CD
165880,CD
167768,CD
741195,CD
166645,CD
165878,CD
336876,CD
550055,CD
741189,CD
550061,CD
171641,UHF34
549929,UHF34
741063,UHF34
172083,UHF34
171639,UHF34
336654,UHF34
172727,UHF34
643404,UHF42
178547,UHF42
823259,UHF42
178529,UHF42
177917,UHF42
177925,UHF42
742229,UHF42
742190,UHF42
823314,UHF42
334020,UHF42
177799,UHF42
742230,UHF42
177791,UHF42
742254,UHF42
742224,UHF42
130419,UHF42
130417,UHF42
130399,UHF42
177841,UHF42
742228,UHF42
742223,UHF42
175355,UHF42
336558,UHF42
176699,UHF42
175901,UHF42
336582,UHF42
549827,UHF42
740961,UHF42
175342,UHF42
740922,UHF42
336519,UHF42
740907,UHF42
176657,UHF42
823299,UHF42
168518,CD
170406,CD
175889,UHF42
175984,UHF42
412490,UHF42
740956,UHF42
740944,UHF42
412491,UHF42
412457,UHF42
176057,UHF42
176530,UHF42
176614,UHF42
212433,UHF42
336499,UHF42
643371,UHF42
336553,UHF42
667117,UHF42
167623,CD
518919,UHF42
131442,UHF42
169309,CD
168542,CD
547690,CD
649714,UHF42
605716,UHF42
605758,UHF42
