Series_Title,Runtime
The Shawshank Redemption,142 min
The Godfather,175 min
The Dark Knight,152 min
The Godfather: Part II,202 min
12 Angry Men,96 min
The Lord of the Rings: The Return of the King,201 min
Pulp Fiction,154 min
Schindler's List,195 min
Inception,148 min
Fight Club,139 min
The Lord of the Rings: The Fellowship of the Ring,178 min
Forrest Gump,142 min
"Il buono, il brutto, il cattivo",161 min
The Lord of the Rings: The Two Towers,179 min
The Matrix,136 min
Goodfellas,146 min
Star Wars: Episode V - The Empire Strikes Back,124 min
One Flew Over the Cuckoo's Nest,133 min
Hamilton,160 min
Gisaengchung,132 min
Soorarai Pottru,153 min
Interstellar,169 min
Cidade de Deus,130 min
Sen to Chihiro no kamikakushi,125 min
Saving Private Ryan,169 min
The Green Mile,189 min
La vita è bella,116 min
Se7en,127 min
The Silence of the Lambs,118 min
Star Wars,121 min
Seppuku,133 min
Shichinin no samurai,207 min
It's a Wonderful Life,130 min
Joker,122 min
Whiplash,106 min
The Intouchables,112 min
The Prestige,130 min
The Departed,151 min
The Pianist,150 min
Gladiator,155 min
American History X,119 min
The Usual Suspects,106 min
Léon,110 min
The Lion King,88 min
Terminator 2: Judgment Day,137 min
Nuovo Cinema Paradiso,155 min
Hotaru no haka,89 min
Back to the Future,116 min
Once Upon a Time in the West,165 min
Psycho,109 min
Casablanca,102 min
Modern Times,87 min
City Lights,87 min
Capharnaüm,126 min
Ayla: The Daughter of War,125 min
Vikram Vedha,147 min
Kimi no na wa.,106 min
Dangal,161 min
Spider-Man: Into the Spider-Verse,117 min
Avengers: Endgame,181 min
Avengers: Infinity War,149 min
Coco,105 min
Django Unchained,165 min
The Dark Knight Rises,164 min
3 Idiots,170 min
Taare Zameen Par,165 min
WALL·E,98 min
The Lives of Others,137 min
Oldeuboi,101 min
Memento,113 min
Mononoke-hime,134 min
Once Upon a Time in America,229 min
Raiders of the Lost Ark,115 min
The Shining,146 min
Apocalypse Now,147 min
Alien,117 min
Anand,122 min
Tengoku to jigoku,143 min
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,95 min
Witness for the Prosecution,116 min
Paths of Glory,88 min
Rear Window,112 min
Sunset Blvd.,110 min
The Great Dictator,125 min
1917,119 min
Tumbbad,104 min
Andhadhun,139 min
Drishyam,160 min
Jagten,115 min
Jodaeiye Nader az Simin,123 min
Incendies,131 min
Miracle in cell NO.7,132 min
Babam ve Oglum,112 min
Inglourious Basterds,153 min
Eternal Sunshine of the Spotless Mind,108 min
Amélie,122 min
Snatch,104 min
Requiem for a Dream,102 min
American Beauty,122 min
Good Will Hunting,126 min
Bacheha-Ye aseman,89 min
Toy Story,81 min
Braveheart,178 min
Reservoir Dogs,99 min
Full Metal Jacket,116 min
Idi i smotri,142 min
Aliens,137 min
Amadeus,160 min
Scarface,170 min
Star Wars: Episode VI - Return of the Jedi,131 min
Das Boot,149 min
Taxi Driver,114 min
The Sting,129 min
A Clockwork Orange,136 min
2001: A Space Odyssey,149 min
Per qualche dollaro in più,132 min
Lawrence of Arabia,228 min
The Apartment,125 min
North by Northwest,136 min
Vertigo,128 min
Singin' in the Rain,103 min
Ikiru,143 min
Ladri di biciclette,89 min
Double Indemnity,107 min
Citizen Kane,119 min
M - Eine Stadt sucht einen Mörder,117 min
Metropolis,153 min
The Kid,68 min
Chhichhore,143 min
Uri: The Surgical Strike,138 min
K.G.F: Chapter 1,156 min
Green Book,130 min
"Three Billboards Outside Ebbing, Missouri",115 min
Talvar,132 min
Baahubali 2: The Conclusion,167 min
Klaus,96 min
Drishyam,163 min
Queen,146 min
Mandariinid,87 min
Bhaag Milkha Bhaag,186 min
Gangs of Wasseypur,321 min
Udaan,134 min
Paan Singh Tomar,135 min
El secreto de sus ojos,129 min
Warrior,140 min
Shutter Island,138 min
Up,96 min
The Wolf of Wall Street,180 min
Chak De! India,153 min
There Will Be Blood,158 min
Pan's Labyrinth,118 min
Toy Story 3,103 min
V for Vendetta,132 min
Rang De Basanti,167 min
Black,122 min
Batman Begins,140 min
"Swades: We, the People",210 min
Der Untergang,156 min
Hauru no ugoku shiro,119 min
A Beautiful Mind,135 min
Hera Pheri,156 min
